a,hectarea,poblacion
Madrid-Arganzuela,646,"155,287"
Madrid-Barajas,"4,192","50,285"
Madrid-Carabanchel,"1,405","260,148"
Madrid-Centro,523,"141,943"
Madrid-Chamartin,918,"146,579"
Madrid-Chamberi,468,"139,672"
Madrid-Ciudad Lineal,"1,143","218,145"
Madrid-Fuencarral-El Pardo,"23,784","248,971"
Madrid-Hortaleza,"2,742","194,125"
Madrid-Latina,"2,543","241,648"
Madrid-Moncloa-Aravaca,"4,653","121,518"
Madrid-Moratalaz,610,"94,462"
Madrid-Puente de Vallecas,"1,497","240,448"
Madrid-Retiro,547,"119,284"
Madrid-Salamanca,539,"146,779"
Madrid-San Blas - Canillejas,"2,229","161,106"
Madrid-Tetuan,537,"160,823"
Madrid-Usera,778,"143,302"
Madrid-Vicalvaro,"3,527","75,648"
Madrid-Villa de Vallecas,"5,147","115,299"
Madrid-Villaverde,"2,019","155,578"
