municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria,,
Madrid-Retiro;01/07/2020 09:00;28;23,47;1691;1417,23;79603
Madrid-Salamanca;01/07/2020 09:00;23;15,74;1781;1218,99;79604
Madrid-Centro;01/07/2020 09:00;18;13,35;1282;950,7;79601
Madrid-Arganzuela;01/07/2020 09:00;16;10,4;1769;1150,17;79602
Madrid-Chamartin;01/07/2020 09:00;12;8,23;1800;1234,15;79605
Madrid-Tetuan;01/07/2020 09:00;11;6,96;2233;1413,09;79606
Madrid-Chamberi;01/07/2020 09:00;23;16,5;1739;1247,68;79607
Madrid-Fuencarral-El Pardo;01/07/2020 09:00;27;10,98;3290;1337,73;79608
Madrid-Moncloa-Aravaca;01/07/2020 09:00;25;20,93;1568;1313,02;79609
Madrid-Latina;01/07/2020 09:00;49;20,57;3080;1292,93;79610
Madrid-Carabanchel;01/07/2020 09:00;30;11,85;2957;1168,32;79611
Madrid-Usera;01/07/2020 09:00;23;16,46;1505;1076,99;79612
Madrid-Puente de Vallecas;01/07/2020 09:00;53;22,57;3348;1425,55;79613
Madrid-San Blas - Canillejas;01/07/2020 09:00;13;8,22;1584;1001,63;79620
Madrid-Barajas;01/07/2020 09:00;8;16,34;464;948;79621
Madrid-Moratalaz;01/07/2020 09:00;18;19,03;1517;1604,1;79614
Madrid-Ciudad Lineal;01/07/2020 09:00;37;17,11;2431;1123,99;79615
Madrid-Hortaleza;01/07/2020 09:00;10;5,31;1885;1001,66;79616
Madrid-Villaverde;01/07/2020 09:00;34;22,83;1588;1066,16;79617
Madrid-Villa de Vallecas;01/07/2020 09:00;16;14,5;1318;1194,22;79618
Madrid-Vicalvaro;01/07/2020 09:00;22;30,52;929;1288,65;79619
Pozuelo de Alarcón;01/07/2020 09:00;;5,79;859;993,96;1150
Alcorcón;01/07/2020 09:00;15;8,8;1960;1149,47;72
Navalcarnero;01/07/2020 09:00;;0;223;761,14;967
San Agustín del Guadalix;01/07/2020 09:00;;0;84;627,85;1296
Las Rozas de Madrid;01/07/2020 09:00;10;10,44;870;908,01;1277
Moraleja de Enmedio;01/07/2020 09:00;;0;29;564,64;894
